"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"str_cfgmagazines_ammo_new_22highvelocity1",".22 Long Rifle High Speed rimfire cartridge. Also known as .22 LR High Speed. Used in small pistols.",".22 Long Rifle High Speed rimfire cartridge. Also known as .22 LR High Speed. Used in small pistols.",".22 Long Rifle High Speed rimfire cartridge. Also known as .22 LR High Speed. Used in small pistols.",".22 Long Rifle High Speed rimfire cartridge. Also known as .22 LR High Speed. Used in small pistols.","Малокалиберный унитарный патрон кольцевого воспламенения 22-го калибра Высокоскоростные.",".22 Long Rifle High Speed rimfire cartridge. Also known as .22 LR High Speed. Used in small pistols.",".22 Long Rifle High Speed rimfire cartridge. Also known as .22 LR High Speed. Used in small pistols.",".22 Long Rifle High Speed rimfire cartridge. Also known as .22 LR High Speed. Used in small pistols.",".22 Long Rifle High Speed rimfire cartridge. Also known as .22 LR High Speed. Used in small pistols.",".22 Long Rifle High Speed rimfire cartridge. Also known as .22 LR High Speed. Used in small pistols.",".22 Long Rifle High Speed rimfire cartridge. Also known as .22 LR High Speed. Used in small pistols.",".22 Long Rifle High Speed rimfire cartridge. Also known as .22 LR High Speed. Used in small pistols.",".22 Long Rifle High Speed rimfire cartridge. Also known as .22 LR High Speed. Used in small pistols.",".22 Long Rifle High Speed rimfire cartridge. Also known as .22 LR High Speed. Used in small pistols.",
"str_cfgmagazines_ammo_new_22hypervelocity0",".22 LR Ultra High Speed Rounds",".22 LR Ultra High Speed Rounds",".22 LR Ultra High Speed Rounds",".22 LR Ultra High Speed Rounds","Патроны .22 LR Сверхвысокоскоростные",".22 LR Ultra High Speed Rounds",".22 LR Ultra High Speed Rounds",".22 LR Ultra High Speed Rounds",".22 LR Ultra High Speed Rounds",".22 LR Ultra High Speed Rounds",".22 LR Ultra High Speed Rounds",".22 LR Ultra High Speed Rounds",".22 LR Ultra High Speed Rounds",".22 LR Ultra High Speed Rounds",
"str_cfgmagazines_ammo_new_22hypervelocity1",".22 Long Rifle Ultra High Speed rimfire cartridge. Also known as .22 LR Ultra High Speed. Used in small pistols.",".22 Long Rifle Ultra High Speed rimfire cartridge. Also known as .22 LR Ultra High Speed. Used in small pistols.",".22 Long Rifle Ultra High Speed rimfire cartridge. Also known as .22 LR Ultra High Speed. Used in small pistols.",".22 Long Rifle Ultra High Speed rimfire cartridge. Also known as .22 LR Ultra High Speed. Used in small pistols.","Малокалиберный унитарный патрон кольцевого воспламенения 22-го калибра Сверхвысокоскоростные.",".22 Long Rifle Ultra High Speed rimfire cartridge. Also known as .22 LR Ultra High Speed. Used in small pistols.",".22 Long Rifle Ultra High Speed rimfire cartridge. Also known as .22 LR Ultra High Speed. Used in small pistols.",".22 Long Rifle Ultra High Speed rimfire cartridge. Also known as .22 LR Ultra High Speed. Used in small pistols.",".22 Long Rifle Ultra High Speed rimfire cartridge. Also known as .22 LR Ultra High Speed. Used in small pistols.",".22 Long Rifle Ultra High Speed rimfire cartridge. Also known as .22 LR Ultra High Speed. Used in small pistols.",".22 Long Rifle Ultra High Speed rimfire cartridge. Also known as .22 LR Ultra High Speed. Used in small pistols.",".22 Long Rifle Ultra High Speed rimfire cartridge. Also known as .22 LR Ultra High Speed. Used in small pistols.",".22 Long Rifle Ultra High Speed rimfire cartridge. Also known as .22 LR Ultra High Speed. Used in small pistols.",".22 Long Rifle Ultra High Speed rimfire cartridge. Also known as .22 LR Ultra High Speed. Used in small pistols.",
"str_cfgmagazines_ammo_new_22imbalanced0",".22 LR Imbalanced Rounds",".22 LR Imbalanced Rounds",".22 LR Imbalanced Rounds",".22 LR Imbalanced Rounds","Патроны .22 LR Imbalanced",".22 LR Imbalanced Rounds",".22 LR Imbalanced Rounds",".22 LR Imbalanced Rounds",".22 LR Imbalanced Rounds",".22 LR Imbalanced Rounds",".22 LR Imbalanced Rounds",".22 LR Imbalanced Rounds",".22 LR Imbalanced Rounds",".22 LR Imbalanced Rounds",
"str_cfgmagazines_ammo_new_22imbalanced1",".22 Long Rifle Imbalanced rimfire cartridge.",".22 Long Rifle Imbalanced rimfire cartridge.",".22 Long Rifle Imbalanced rimfire cartridge.",".22 Long Rifle Imbalanced rimfire cartridge.","Малокалиберный унитарный патрон кольцевого воспламенения 22-го калибра Imbalanced.",".22 Long Rifle Imbalanced rimfire cartridge.",".22 Long Rifle Imbalanced rimfire cartridge.",".22 Long Rifle Imbalanced rimfire cartridge.",".22 Long Rifle Imbalanced rimfire cartridge.",".22 Long Rifle Imbalanced rimfire cartridge.",".22 Long Rifle Imbalanced rimfire cartridge.",".22 Long Rifle Imbalanced rimfire cartridge.",".22 Long Rifle Imbalanced rimfire cartridge.",".22 Long Rifle Imbalanced rimfire cartridge.",
"str_cfgmagazines_ammo_new_308winm610",".308 WIN M61 Rounds",".308 WIN M61 Rounds",".308 WIN M61 Rounds",".308 WIN M61 Rounds","Патроны .308 WIN M61",".308 WIN M61 Rounds",".308 WIN M61 Rounds",".308 WIN M61 Rounds",".308 WIN M61 Rounds",".308 WIN M61 Rounds",".308 WIN M61 Rounds",".308 WIN M61 Rounds",".308 WIN M61 Rounds",".308 WIN M61 Rounds",
"str_cfgmagazines_ammo_new_308winm611",".308 WIN M61 Rounds. Used in select rifles.",".308 WIN M61 Rounds. Used in select rifles.",".308 WIN M61 Rounds. Used in select rifles.",".308 WIN M61 Rounds. Used in select rifles.","Винтовочный патрон .308 WIN M61. Используется в некоторых винтовках.",".308 WIN M61 Rounds. Used in select rifles.",".308 WIN M61 Rounds. Used in select rifles.",".308 WIN M61 Rounds. Used in select rifles.",".308 WIN M61 Rounds. Used in select rifles.",".308 WIN M61 Rounds. Used in select rifles.",".308 WIN M61 Rounds. Used in select rifles.",".308 WIN M61 Rounds. Used in select rifles.",".308 WIN M61 Rounds. Used in select rifles.",".308 WIN M61 Rounds. Used in select rifles.",
"str_cfgmagazines_ammo_new_308winm620",".308 WIN M62 Rounds",".308 WIN M62 Rounds",".308 WIN M62 Rounds",".308 WIN M62 Rounds","Патроны .308 WIN M62",".308 WIN M62 Rounds",".308 WIN M62 Rounds",".308 WIN M62 Rounds",".308 WIN M62 Rounds",".308 WIN M62 Rounds",".308 WIN M62 Rounds",".308 WIN M62 Rounds",".308 WIN M62 Rounds",".308 WIN M62 Rounds",
"str_cfgmagazines_ammo_new_308winm621",".308 WIN M62 Rounds. Used in select rifles.",".308 WIN M62 Rounds. Used in select rifles.",".308 WIN M62 Rounds. Used in select rifles.",".308 WIN M62 Rounds. Used in select rifles.","Винтовочный патрон .308 WIN M62. Используется в некоторых винтовках.",".308 WIN M62 Rounds. Used in select rifles.",".308 WIN M62 Rounds. Used in select rifles.",".308 WIN M62 Rounds. Used in select rifles.",".308 WIN M62 Rounds. Used in select rifles.",".308 WIN M62 Rounds. Used in select rifles.",".308 WIN M62 Rounds. Used in select rifles.",".308 WIN M62 Rounds. Used in select rifles.",".308 WIN M62 Rounds. Used in select rifles.",".308 WIN M62 Rounds. Used in select rifles.",
"str_cfgmagazines_ammo_new_308winm800",".308 WIN M80 Rounds",".308 WIN M80 Rounds",".308 WIN M80 Rounds",".308 WIN M80 Rounds","Патроны .308 WIN M80",".308 WIN M80 Rounds",".308 WIN M80 Rounds",".308 WIN M80 Rounds",".308 WIN M80 Rounds",".308 WIN M80 Rounds",".308 WIN M80 Rounds",".308 WIN M80 Rounds",".308 WIN M80 Rounds",".308 WIN M80 Rounds",
"str_cfgmagazines_ammo_new_308winm801",".308 WIN M80 Rounds. Used in select rifles.",".308 WIN M80 Rounds. Used in select rifles.",".308 WIN M80 Rounds. Used in select rifles.",".308 WIN M80 Rounds. Used in select rifles.","Винтовочный патрон .308 WIN M80. Используется в некоторых винтовках.",".308 WIN M80 Rounds. Used in select rifles.",".308 WIN M80 Rounds. Used in select rifles.",".308 WIN M80 Rounds. Used in select rifles.",".308 WIN M80 Rounds. Used in select rifles.",".308 WIN M80 Rounds. Used in select rifles.",".308 WIN M80 Rounds. Used in select rifles.",".308 WIN M80 Rounds. Used in select rifles.",".308 WIN M80 Rounds. Used in select rifles.",".308 WIN M80 Rounds. Used in select rifles.",
"str_cfgmagazines_ammo_new_308winm9930",".308 WIN M993 Rounds",".308 WIN M993 Rounds",".308 WIN M993 Rounds",".308 WIN M993 Rounds","Патроны .308 WIN M993",".308 WIN M993 Rounds",".308 WIN M993 Rounds",".308 WIN M993 Rounds",".308 WIN M993 Rounds",".308 WIN M993 Rounds",".308 WIN M993 Rounds",".308 WIN M993 Rounds",".308 WIN M993 Rounds",".308 WIN M993 Rounds",
"str_cfgmagazines_ammo_new_308winm9931",".308 WIN M993 Rounds. Used in select rifles.",".308 WIN M993 Rounds. Used in select rifles.",".308 WIN M993 Rounds. Used in select rifles.",".308 WIN M993 Rounds. Used in select rifles.","Винтовочный патрон .308 WIN M993. Используется в некоторых винтовках.",".308 WIN M993 Rounds. Used in select rifles.",".308 WIN M993 Rounds. Used in select rifles.",".308 WIN M993 Rounds. Used in select rifles.",".308 WIN M993 Rounds. Used in select rifles.",".308 WIN M993 Rounds. Used in select rifles.",".308 WIN M993 Rounds. Used in select rifles.",".308 WIN M993 Rounds. Used in select rifles.",".308 WIN M993 Rounds. Used in select rifles.",".308 WIN M993 Rounds. Used in select rifles.",
"str_cfgmagazines_ammo_new_308winultranosler0",".308 WIN Ultra Nosler Rounds",".308 WIN Ultra Nosler Rounds",".308 WIN Ultra Nosler Rounds",".308 WIN Ultra Nosler Rounds","Патроны .308 WIN Ultra Nosler",".308 WIN Ultra Nosler Rounds",".308 WIN Ultra Nosler Rounds",".308 WIN Ultra Nosler Rounds",".308 WIN Ultra Nosler Rounds",".308 WIN Ultra Nosler Rounds",".308 WIN Ultra Nosler Rounds",".308 WIN Ultra Nosler Rounds",".308 WIN Ultra Nosler Rounds",".308 WIN Ultra Nosler Rounds",
"str_cfgmagazines_ammo_new_308winultranosler1",".308 WIN Ultra Nosler Rounds. Used in select rifles.",".308 WIN Ultra Nosler Rounds. Used in select rifles.",".308 WIN Ultra Nosler Rounds. Used in select rifles.",".308 WIN Ultra Nosler Rounds. Used in select rifles.","Винтовочный патрон .308 WIN Ultra Nosler. Используется в некоторых винтовках.",".308 WIN Ultra Nosler Rounds. Used in select rifles.",".308 WIN Ultra Nosler Rounds. Used in select rifles.",".308 WIN Ultra Nosler Rounds. Used in select rifles.",".308 WIN Ultra Nosler Rounds. Used in select rifles.",".308 WIN Ultra Nosler Rounds. Used in select rifles.",".308 WIN Ultra Nosler Rounds. Used in select rifles.",".308 WIN Ultra Nosler Rounds. Used in select rifles.",".308 WIN Ultra Nosler Rounds. Used in select rifles.",".308 WIN Ultra Nosler Rounds. Used in select rifles.",
"str_cfgmagazines_ammo_new_308winfmj0",".308 WIN BPZ FMJ Rounds",".308 WIN BPZ FMJ Rounds",".308 WIN BPZ FMJ Rounds",".308 WIN BPZ FMJ Rounds","Патроны .308 WIN БПЗ FMJ",".308 WIN BPZ FMJ Rounds",".308 WIN BPZ FMJ Rounds",".308 WIN BPZ FMJ Rounds",".308 WIN BPZ FMJ Rounds",".308 WIN BPZ FMJ Rounds",".308 WIN BPZ FMJ Rounds",".308 WIN BPZ FMJ Rounds",".308 WIN BPZ FMJ Rounds",".308 WIN BPZ FMJ Rounds",
"str_cfgmagazines_ammo_new_308winfmj1",".308 WIN BPZ FMJ Rounds. Used in select rifles.",".308 WIN BPZ FMJ Rounds. Used in select rifles.",".308 WIN BPZ FMJ Rounds. Used in select rifles.",".308 WIN BPZ FMJ Rounds. Used in select rifles.","Винтовочный патрон .308 WIN БПЗ FMJ. Используется в некоторых винтовках.",".308 WIN BPZ FMJ Rounds. Used in select rifles.",".308 WIN BPZ FMJ Rounds. Used in select rifles.",".308 WIN BPZ FMJ Rounds. Used in select rifles.",".308 WIN BPZ FMJ Rounds. Used in select rifles.",".308 WIN BPZ FMJ Rounds. Used in select rifles.",".308 WIN BPZ FMJ Rounds. Used in select rifles.",".308 WIN BPZ FMJ Rounds. Used in select rifles.",".308 WIN BPZ FMJ Rounds. Used in select rifles.",".308 WIN BPZ FMJ Rounds. Used in select rifles.",
"str_cfgmagazines_ammo_new_308winsp0",".308 WIN TPZ SP Rounds",".308 WIN TPZ SP Rounds",".308 WIN TPZ SP Rounds",".308 WIN TPZ SP Rounds","Патроны .308 WIN ТПЗ SP",".308 WIN TPZ SP Rounds",".308 WIN TPZ SP Rounds",".308 WIN TPZ SP Rounds",".308 WIN TPZ SP Rounds",".308 WIN TPZ SP Rounds",".308 WIN TPZ SP Rounds",".308 WIN TPZ SP Rounds",".308 WIN TPZ SP Rounds",".308 WIN TPZ SP Rounds",
"str_cfgmagazines_ammo_new_308winsp1",".308 WIN TPZ SP Rounds. Used in select rifles.",".308 WIN TPZ SP Rounds. Used in select rifles.",".308 WIN TPZ SP Rounds. Used in select rifles.",".308 WIN TPZ SP Rounds. Used in select rifles.","Винтовочный патрон .308 WIN ТПЗ SP. Используется в некоторых винтовках.",".308 WIN TPZ SP Rounds. Used in select rifles.",".308 WIN TPZ SP Rounds. Used in select rifles.",".308 WIN TPZ SP Rounds. Used in select rifles.",".308 WIN TPZ SP Rounds. Used in select rifles.",".308 WIN TPZ SP Rounds. Used in select rifles.",".308 WIN TPZ SP Rounds. Used in select rifles.",".308 WIN TPZ SP Rounds. Used in select rifles.",".308 WIN TPZ SP Rounds. Used in select rifles.",".308 WIN TPZ SP Rounds. Used in select rifles.",
"str_cfgmagazines_ammo_new_308winimbalanced0",".308 WIN Imbalanced Rounds",".308 WIN Imbalanced Rounds",".308 WIN Imbalanced Rounds",".308 WIN Imbalanced Rounds","Патроны .308 WIN Imbalanced",".308 WIN Imbalanced Rounds",".308 WIN Imbalanced Rounds",".308 WIN Imbalanced Rounds",".308 WIN Imbalanced Rounds",".308 WIN Imbalanced Rounds",".308 WIN Imbalanced Rounds",".308 WIN Imbalanced Rounds",".308 WIN Imbalanced Rounds",".308 WIN Imbalanced Rounds",
"str_cfgmagazines_ammo_new_308winimbalanced1",".308 WIN Imbalanced Rounds. Used in select rifles.",".308 WIN Imbalanced Rounds. Used in select rifles.",".308 WIN Imbalanced Rounds. Used in select rifles.",".308 WIN Imbalanced Rounds. Used in select rifles.","Винтовочный патрон .308 WIN Imbalanced. Используется в некоторых винтовках.",".308 WIN Imbalanced Rounds. Used in select rifles.",".308 WIN Imbalanced Rounds. Used in select rifles.",".308 WIN Imbalanced Rounds. Used in select rifles.",".308 WIN Imbalanced Rounds. Used in select rifles.",".308 WIN Imbalanced Rounds. Used in select rifles.",".308 WIN Imbalanced Rounds. Used in select rifles.",".308 WIN Imbalanced Rounds. Used in select rifles.",".308 WIN Imbalanced Rounds. Used in select rifles.",".308 WIN Imbalanced Rounds. Used in select rifles.",
"str_cfgmagazines_ammo_new_357quikshokjhp0",".357 Quik-Shok JHP Rounds",".357 Quik-Shok JHP Rounds",".357 Quik-Shok JHP Rounds",".357 Quik-Shok JHP Rounds","Патроны .357 Quik-Shok JHP",".357 Quik-Shok JHP Rounds",".357 Quik-Shok JHP Rounds",".357 Quik-Shok JHP Rounds",".357 Quik-Shok JHP Rounds",".357 Quik-Shok JHP Rounds",".357 Quik-Shok JHP Rounds",".357 Quik-Shok JHP Rounds",".357 Quik-Shok JHP Rounds",".357 Quik-Shok JHP Rounds",
"str_cfgmagazines_ammo_new_357quikshokjhp1",".357 Quik-Shok JHP Rounds. Used in pistols, revolvers, and select rifles.",".357 Quik-Shok JHP Rounds. Used in pistols, revolvers, and select rifles.",".357 Quik-Shok JHP Rounds. Used in pistols, revolvers, and select rifles.",".357 Quik-Shok JHP Rounds. Used in pistols, revolvers, and select rifles.","Револьверный патрон .357 Quik-Shok JHP. Используется в пистолетах, револьверах и некоторых винтовках.",".357 Quik-Shok JHP Rounds. Used in pistols, revolvers, and select rifles.",".357 Quik-Shok JHP Rounds. Used in pistols, revolvers, and select rifles.",".357 Quik-Shok JHP Rounds. Used in pistols, revolvers, and select rifles.",".357 Quik-Shok JHP Rounds. Used in pistols, revolvers, and select rifles.",".357 Quik-Shok JHP Rounds. Used in pistols, revolvers, and select rifles.",".357 Quik-Shok JHP Rounds. Used in pistols, revolvers, and select rifles.",".357 Quik-Shok JHP Rounds. Used in pistols, revolvers, and select rifles.",".357 Quik-Shok JHP Rounds. Used in pistols, revolvers, and select rifles.",".357 Quik-Shok JHP Rounds. Used in pistols, revolvers, and select rifles.",
"str_cfgmagazines_ammo_new_357hollowpoint0",".357 ammo Bonded match hollow point Rounds",".357 ammo Bonded match hollow point Rounds",".357 ammo Bonded match hollow point Rounds",".357 ammo Bonded match hollow point Rounds","Патроны .357 Bonded match hollow point",".357 ammo Bonded match hollow point Rounds",".357 ammo Bonded match hollow point Rounds",".357 ammo Bonded match hollow point Rounds",".357 ammo Bonded match hollow point Rounds",".357 ammo Bonded match hollow point Rounds",".357 ammo Bonded match hollow point Rounds",".357 ammo Bonded match hollow point Rounds",".357 ammo Bonded match hollow point Rounds",".357 ammo Bonded match hollow point Rounds",
"str_cfgmagazines_ammo_new_357hollowpoint1",".357 ammo Bonded match hollow point Rounds. Used in pistols, revolvers, and select rifles.",".357 ammo Bonded match hollow point Rounds. Used in pistols, revolvers, and select rifles.",".357 ammo Bonded match hollow point Rounds. Used in pistols, revolvers, and select rifles.",".357 ammo Bonded match hollow point Rounds. Used in pistols, revolvers, and select rifles.","Револьверный патрон .357 Bonded match hollow point. Используется в пистолетах, револьверах и некоторых винтовках.",".357 ammo Bonded match hollow point Rounds. Used in pistols, revolvers, and select rifles.",".357 ammo Bonded match hollow point Rounds. Used in pistols, revolvers, and select rifles.",".357 ammo Bonded match hollow point Rounds. Used in pistols, revolvers, and select rifles.",".357 ammo Bonded match hollow point Rounds. Used in pistols, revolvers, and select rifles.",".357 ammo Bonded match hollow point Rounds. Used in pistols, revolvers, and select rifles.",".357 ammo Bonded match hollow point Rounds. Used in pistols, revolvers, and select rifles.",".357 ammo Bonded match hollow point Rounds. Used in pistols, revolvers, and select rifles.",".357 ammo Bonded match hollow point Rounds. Used in pistols, revolvers, and select rifles.",".357 ammo Bonded match hollow point Rounds. Used in pistols, revolvers, and select rifles.",
